,link, theme,Unnamed: 2,metadata,theme2
0,https://vk.com/mobizond,,,"Mobizond | ВКонтакте,Mobizond | ВКонтактеMobizondЗаписи сообщества ПоискОтмена",unmatched
1,https://www.wildberries.ru/catalog/elektronika/planshety/android,,,"Компания,Наши проекты,Подтвердите свой возраст,Партнерам,Мы в соцсетях,Приложение Wildberries,Покупателям",unmatched
2,https://market.yandex.ru/catalog--bytovaia-tekhnika/54419?utm_source_service=web&clid=703&src_pof=703&icookie=w9tQAe4Du6au2JJLK7pRVmrzTNmvtNZwYxeAkA%2FaVF3WP79MBHH5jCKhChc44JtrV4NklmTQcCVg%2FoY%2BArY01SfX5Rc%3D&baobab_event_id=l8yf8rners,,,"Яндекс Маркет,Бытовая техникаПылесосы,Полезные ссылки,Кофеварки и кофемашины,Блендеры,Доставка за 1-2 часа,Скидки на бытовую технику,Выгодные акции,Вы смотрели,Можно оплатить частями,Фены и фен-щёткиПокупайте бытовую технику на Маркете,Сотрудничество,Покупателям,Продавцам",Бытовая техника
3,https://netology.ru/programs/seo-free,,,"Стань SEO-специалистом бесплатно с курсом в Нетологии: все секреты оптимизации сайтов,Как стать SEO‑специалистомКак проходит обучение,Что получите на бесплатном курсе,Программа курса,Кто проведёт курс,Отвечаем на вопросы,Средняя зарплата SEO‑специалиста",Игры
4,https://help.mail.ru/my-help/music,,,"Музыка — Мой Мир ,Раздел «Моя музыка».,Музыка,Раздел «Рекомендации».,Загрузка и прослушивание музыки,Раздел «Друзья».",Музыка
5,http://artishok-irk.ru/,,,"Центр танца Артишок — Dance Center Artishok,О НАСАБОНЕМЕНТЫ,Семейный,КАК К НАМ ПОПАСТЬ?,Мы открыты для новых проектов!,Пенсионный,НОВОСТИ САЙТА,СОТРУДНИЧЕСТВО,01.,03.,02.,Студенческий",Танцы
6,https://dtf.ru/s/playstation/1113149-sony-otklyuchila-ps-store-v-rossii-kak-teper-igrat-i-pokupat-igry-v-cifre,,,"Sony отключила PS Store в России — как теперь играть и покупать игры в «цифре» — PlayStation на DTF,Sony отключила PS Store в России — как теперь играть и покупать игры в «цифре»Создаём аккаунт другого региона,Коротко о неопределённости ситуации,Что сделать точно не получится,Играем в уже купленные игры",Игры
7,https://krinitsa.com.ua/ru/products/voda/voda-nebesna-krinicja,,,,unmatched
8,https://dzen.ru/dsgninterior,,,,unmatched
9,http://www.kartofel.org/traktora/tech1.html,,,"Тракторы,Трактор Кировец K3180 АТМ",unmatched
