link; label;Unnamed: 2;metadata
https://rocket-market.ru/catalog/foto_video_i_audiotekhnika/;Фото, видео и аудиотехника;;Фото, видео и аудиотехника от Рокет Маркет,
https://www.mvideo.ru/audiotehnika;Фото, видео и аудиотехника;;
https://www.mvideo.ru/audiotehnika-i-dj-oborudovanie-9;Фото, видео и аудиотехника;;
https://future-phone.ru/catalog/televizory_audio_video_foto;Фото, видео и аудиотехника;;Купить Аудио-видео, фото цены в Пензе, Нижнем Новгороде, Москве,Аудио-видео, фото
https://www.kombik.com/catalog/view/audio-technica-atw1702/;Фото, видео и аудиотехника;;Audio-Technica ATW1702 радиосистема для фото/видео камеры купить в Москве в интернет-магазине Kombik,Audio-Technica ATW1702 радиосистема для фото/видео камерыПосмотрите похожие товары,Отзывы о Audio-Technica ATW1702
https://www.fotosklad.ru/;Фото, видео и аудиотехника;;Интернет магазин фототехники. Продажа фотоаппаратов, фототоваров, оптики, цифровой техники - Фотосклад.ру,Фотосклад — больше чем фотомагазинНовинки,Новости компании,Хиты продаж,Смартфоны с NFC,Canon,Raylab,Бренды,Смартфоны на Android,Выгодные акции,Профессиональные беззеркальные фотоаппараты,Смартфоны Huawei с 2 Sim-картами
https://foto-market.ru/;Фото, видео и аудиотехника;;Магазин,ИНТЕРНЕТ-МАГАЗИН ЦИФРОВОЙ ФОТОТЕХНИКИ, БЫТОВОЙ И КОМПЬЮТЕРНОЙ ТЕХНИКИ FOTO-MARKET.RU
https://igadget16.ru/audio-equipment;Фото, видео и аудиотехника;;Аудиотехника — купить онлайн в интернет магазине iGadget,АудиотехникаНаушники и гарнитуры,Музыкальный инструмент,Усилители и AV-ресиверы
https://kvin-tur.ru/tury-za-granitsu/;Зарубежный туризм;;Горящие туры за границу - цены на путевки от «Квин-Тур»,Отдых за границейПодписка оформлена,Сообщение отправлено,Закажите звонок,Горящие туры для двоих,Оставьте заявку на тур,Что нужно?,Оставьте заявку,Горячие туры без визыВы подписались на рассылку!
https://www.pegast-agent.ru/otdyh-za-granicej/;Зарубежный туризм;;Отдых за границей,Отдых за границей
https://magput.ru/tours/ekskursionnye-tury-za-granitsu;Зарубежный туризм;;Экскурсионные туры за границу,Экскурсионные туры за границуМНОГОДНЕВНЫЕ ЭКСКУРСИОННЫЕ ТУРЫ ЗА ГРАНИЦУ,Заявка на подбор тура отправлена
